mlbam,fangraphs,bbref,retro,last,first,birthYear
116965,1006820,kelsobi01,kelsb101,Kelso,Bill,1940
122615,1012359,sprigge01,sprig101,Spriggs,George,1937
118385,1008205,martyjo01,martj102,Marty,Joe,1913
608385,13590,winkeje01,winkj002,Winker,Jesse,1993
124742,1014417,zannido01,zannd101,Zanni,Dom,1932
448590,8278,melilke01,melik001,Melillo,Kevin,1982
116871,1006726,keaglgr01,keagg001,Keagle,Greg,1971
571431,9393,adamsma01,adamm002,Adams,Matt,1988
408212,2184,grossga01,grosg002,Gross,Gabe,1979
817743,,picca01,piccu101,Piccard,,
456034,3184,priceda01,pricd001,Price,David,1985
124747,1014422,zauchno01,zaucn101,Zauchin,Norm,1929
816716,,washija01,washj101,Washington,Jasper,1896
694680,,martitr01,,Martin,Trevor,2000
117918,1007755,lopezhe01,lopeh101,López,Héctor,1929
113145,1003087,daviswi01,daviw103,Davis,Wiley,1875
115263,387,gutieri01,gutir001,Gutiérrez,Ricky,1970
113097,1003034,davisbi01,davib106,Davis,Bill,1942
218595,1329,woodwch01,woodc001,Woodward,Chris,1976
115726,1005612,helfrty01,helft101,Helfrich,Ty,1890
119551,1009359,murphdw01,murpd002,Murphy,Dwayne,1955
667725,22092,tylerky01,tylek001,Tyler,Kyle,1996
115542,1005401,harribo02,harrb114,Harrison,Bob,1930
817083,,stins02,stinu101,Stinson,Frank,1913
621550,13602,wisdopa01,wisdp001,Wisdom,Patrick,1991
543340,3658,hudsoky01,hudsk001,Hudson,Kyle,1987
113225,1003162,delanar01,delaa101,Delaney,Art,1897
502205,10053,greengr01,greeg002,Green,Grant,1987
112682,132,cordoma01,cordm001,Cordova,Marty,1969
820101,,charlre01,charr101,Charleston,Red,1905
118281,1008104,marenle01,marel101,Marentette,Leo,1941
121364,1011112,rodriro02,rodrr003,Rodríguez,Rosario,1969
116050,1005927,hoggbi01,hoggb101,Hogg,Bill,1881
668952,25867,kreidry01,kreir001,Kreidler,Ryan,1997
670087,19192,sittibr01,sittb001,Sittinger,Brandyn,1994
122444,1012190,smithpe01,smitp102,Smith,Pete,1940
112690,952,cormirh01,cormr001,Cormier,Rheal,1967
120387,1010163,pennywi01,pennw001,Pennyfeather,Will,1968
111595,1001562,brownto01,browt102,Brown,Tom,1860
111167,1001138,bolaned01,bolae101,Boland,Ed,1908
