k,subset,r_S,r_Y,combined,se
6,stuffRaw+kbbPct+izWhiffPct+gbPct+weakSideXrv100+pitchesPerG,0.5200715097920012,0.5930815845371376,0.5565765471645694,0.01523708330997006
6,stuffRaw+locRaw+kPct+kbbPct+barrelPct+pitchesPerG,0.5218857106292673,0.5912135956985918,0.5565496531639296,0.013779166528532234
6,stuffRaw+kPct+izWhiffPct+xrv100+gbPct+pitchesPerG,0.5177761150139937,0.5953082798663932,0.5565421974401934,0.015583208683195229
6,stuffRaw+locRaw+xrvoe+kPct+barrelPct+pitchesPerG,0.5221841711531433,0.5908870694729922,0.5565356203130678,0.013693854107592017
6,stuffRaw+locRaw+kPct+cswPct+gbPct+pitchesPerG,0.5240392467485085,0.5889880244530037,0.5565136356007561,0.013354157591707586
6,stuffRaw+locRaw+kPct+xwobacon+barrelPct+pitchesPerG,0.5219087684616818,0.5910504642687013,0.5564796163651915,0.01373635990541866
6,stuffRaw+locRaw+kPct+whiffPct+gbPct+pitchesPerG,0.5246925804195897,0.5882220863021317,0.5564573333608607,0.013373650040063287
6,stuffRaw+locRaw+kPct+fipCore+barrelPct+pitchesPerG,0.5221497771241224,0.590755380836541,0.5564525789803316,0.013757586543847143
6,stuffRaw+locRaw+xrvoe+kPct+cswPct+pitchesPerG,0.5248166262943111,0.5880861264498012,0.5564513763720562,0.012785678516614546
6,stuffRaw+kPct+cswPct+xrv100+bestPitchXrv100+pitchesPerG,0.519435007747095,0.5933642453377284,0.5563996265424116,0.01429096411761894
6,stuffRaw+locRaw+fbVelo+kPct+barrelPct+pitchesPerG,0.5217444981187687,0.591051016415359,0.5563977572670638,0.01390324781077483
6,stuffRaw+locRaw+xrvoe+kPct+izWhiffPct+pitchesPerG,0.5236001363214143,0.589130569590341,0.5563653529558776,0.01314180727955507
6,xrvoe+kPct+kbbPct+xrv100+gbPct+pitchesPerG,0.5230000331314193,0.5897192098385374,0.5563596214849784,0.013428596054746444
6,stuffRaw+locRaw+kPct+izWhiffPct+fipCore+pitchesPerG,0.5243311942636544,0.5883827472069989,0.5563569707353266,0.01337678142874747
6,stuffRaw+locRaw+kPct+fipCore+gbPct+pitchesPerG,0.5228606792426631,0.5898474951585635,0.5563540872006133,0.013895168750548222
6,stuffRaw+kbbPct+izWhiffPct+xwobacon+gbPct+pitchesPerG,0.5200039058082085,0.5925907597155864,0.5562973327618974,0.015147235174562968
6,stuffRaw+kPct+chasePct+xrv100+gbPct+pitchesPerG,0.5217824749324871,0.5907830583883736,0.5562827666604304,0.014088907222133755
6,stuffRaw+izWhiffPct+xrv100+xwobacon+bestPitchXrv100+pitchesPerG,0.5218697575417856,0.5905235056235588,0.5561966315826722,0.013466372249313413
6,stuffRaw+xrvoe+cswPct+izWhiffPct+xrv100+pitchesPerG,0.5261140838954164,0.5862148995258316,0.556164491710624,0.012246735339897494
6,stuffRaw+locRaw+kPct+chasePct+gbPct+pitchesPerG,0.5246316020307114,0.587693862909283,0.5561627324699971,0.013097620838459315
6,xrvoe+cswPct+izWhiffPct+xrv100+gbPct+pitchesPerG,0.5271479353803551,0.5851616247240045,0.5561547800521798,0.012518924030884629
